known_heads,shared_tail,target_relation,answers
"[('Duplication of limb NOS (disorder)', 'location_of'), ('appendages', 'used_for')]",Extremity (body structure),has_finding_site,"['limb ischemia (diagnosis)', 'Quadriplegia with associated quadriparesis (disorder)', 'Late eff burn extrem NEC', 'complications; internal fixation, mechanical, bones of limb', 'carbuncle of extremity (diagnosis)', 'Dragging of quadruped limb (finding)', 'spondylometaphyseal dysplasia, corneal dystrophy syndrome (diagnosis)', 'Paralytic syndrome of dominant side as late effect of stroke (disorder)', 'Splayleg in piglets (disorder)', 'Complication of reattached extremity AND/OR body part (disorder)', 'Ataxic hemiparesis of left nondominant side due to and following lacunar infarction', 'Edema of extremity of sudden onset (finding)', 'Late effect of burn of arm &/or leg &/or foot (disorder)', 'Late effect of burn of limb (disorder)', 'disorder of hand abscess', 'Acquired pes planus (disorder)', 'Infective bulbar necrosis (disorder)']"
"[('Duplication of limb NOS (disorder)', 'location_of'), ('appendages', 'used_for')]",Extremity (body structure),has_direct_procedure_site,"[""evoked responses (potentials) tactile ('sensory') upper and lower limbs (procedure)"", 'venography for venous thrombosis extremity', 'CT scan of bilateral extremities without contrast (procedure)']"
"[('Duplication of limb NOS (disorder)', 'location_of'), ('appendages', 'used_for')]",Extremity (body structure),has_procedure_site,"['Prosthetic traing 1st enc', 'destruction of neurofibroma extensive trunk and extremities (treatment)', 'transvaginal ultrasound: appearance of limb of fetus (procedure)', 'US COMPL JOINT R-T W/IMAGE DOCUMENTATION', 'conventional tomogram of extremity (procedure)', 'ORTHOTICS MGMT & TRAING INITIAL ENCTR EA 15 MINS', 'amputation through wrist Krukenberg procedure', 'ORTHOTICS/PROSTH MGMT &/TRAING SBSQ ENCTR 15 MIN']"
"[('SMOTHERING SENSATION', 'clinically_associated_with'), ('SCID, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-POSITIVE', 'manifestation_of')]",arthritis (diagnosis),has_component,['Rheumatoid arthritis nuclear Ab [Presence] in Serum by Immune diffusion (ID)']
"[('SMOTHERING SENSATION', 'clinically_associated_with'), ('SCID, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-POSITIVE', 'manifestation_of')]",arthritis (diagnosis),associated_with,"['typhoid fever with arthritis (diagnosis)', 'rheumatoid arthritis (diagnosis)', 'Sjogren syndrome with inflammatory arthritis (diagnosis)']"
"[('SMOTHERING SENSATION', 'clinically_associated_with'), ('SCID, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-POSITIVE', 'manifestation_of')]",arthritis (diagnosis),has_focus,"['x-ray of right hand, arthritis view (procedure)']"
"[('SMOTHERING SENSATION', 'clinically_associated_with'), ('SCID, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-POSITIVE', 'manifestation_of')]",arthritis (diagnosis),may_treat,"['Harpagophytum procumbens Root', 'methyl salicylate (medication)']"
"[('SMOTHERING SENSATION', 'clinically_associated_with'), ('SCID, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-POSITIVE', 'manifestation_of')]",arthritis (diagnosis),clinically_associated_with,['anemia (diagnosis)']
"[('SMOTHERING SENSATION', 'clinically_associated_with'), ('SCID, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-POSITIVE', 'manifestation_of')]",arthritis (diagnosis),associated_morphology_of,['INFLAMM']
"[('Structure of lower extremity, unspecified', 'has_direct_procedure_site'), ('DIABETES MELLITUS NON INSULIN DEPENDENT ORAL AGENT THERAPY', 'clinically_associated_with')]",Amputation of thigh through femur (procedure),co-occurs_with,['Below knee amputation (procedure)']
"[('toxicity from diazepam', 'causative_agent_of'), ('diazepam (Valium) injection', 'used_for')]",diazepam (medication),has_component,"['test panels serum or plasma diazepam and nordiazepam', 'diazepam in urine by confirmatory method (lab test)', 'drugs in serum or plasma by confirmatory method diazepam']"
"[('toxicity from diazepam', 'causative_agent_of'), ('diazepam (Valium) injection', 'used_for')]",diazepam (medication),has_ingredient,"['diazepam (in soybean oil)@5 mg/mL@INTRAVEN@AMPUL (ML)', 'Valium, 2 mg oral tablet', 'Oral form diazepam (product)', 'diazePAM / scopolamine Oral Tablet']"
"[('toxicity from diazepam', 'causative_agent_of'), ('diazepam (Valium) injection', 'used_for')]",diazepam (medication),has_active_ingredient,"['Diazepam 5mg tablet (substance)', 'Product containing only diazepam (medicinal product)', 'diazePAM 5 mg rectal kit', 'Diazepam 10mg tablet (substance)']"
"[('toxicity from diazepam', 'causative_agent_of'), ('diazepam (Valium) injection', 'used_for')]",diazepam (medication),physiologic_effect_of,['Increased GABA Activity [PE]']
"[('toxicity from diazepam', 'causative_agent_of'), ('diazepam (Valium) injection', 'used_for')]",diazepam (medication),therapeutic_class_of,['Anxiolytics']
"[('L 694458', 'used_for'), ('DMP777', 'used_for')]","1,4 Diazacyclohexane",has_ingredient,['Piperazine citrate 250mg tablet']
"[('L 694458', 'used_for'), ('DMP777', 'used_for')]","1,4 Diazacyclohexane",physiologic_effect_of,['Increased Muscular System GABA Activity [PE]']
"[('L 694458', 'used_for'), ('DMP777', 'used_for')]","1,4 Diazacyclohexane",therapeutic_class_of,['Antihelminthic Agent [TC]']
"[('pelvis; wound', 'co-occurs_with'), ('fracture back', 'co-occurs_with')]",pelvic fracture (diagnosis),associated_with,['Destot sign (finding)']
"[('pelvis; wound', 'co-occurs_with'), ('fracture back', 'co-occurs_with')]",pelvic fracture (diagnosis),co-occurs_with,['Upper leg fracture NOS (disorder)']
"[('CVID13', 'manifestation_of'), ('IMD84', 'manifestation_of')]",pancytopenia (diagnosis),contraindicated_with_disease,['daunorubicin (medication)']
"[('CVID13', 'manifestation_of'), ('IMD84', 'manifestation_of')]",pancytopenia (diagnosis),clinically_associated_with,['acquired immunodeficiency syndrome (AIDS) (diagnosis)']
"[('chest and upper back', 'has_finding_site'), ('Arteriae cornarae', 'has_finding_site')]",Heart injury with open wound into thorax NOS (disorder),associated_morphology_of,['Damage (morphologic abnormality)']
"[('Destruction of lesion of retina by cryotherapy (procedure)', 'method_of'), ('Cryotherapy to mouth (procedure)', 'method_of')]",cryosurgical ablation,clinically_associated_with,['cervical precancer']
"[('Wallaby (organism)', 'used_for'), ('Kangaroo (organism)', 'used_for')]",Superorder Marsupalia,used_for,['Class mammalia - mammals (organism)']
"[('Macrocytic normochromic anemia (disorder)', 'clinically_associated_with'), ('serum vitamin B12 measurement (lab test)', 'co-occurs_with')]",acid folic levels serum,co-occurs_with,['serum vitamin B12 measurement (lab test)']
"[('congenital adrenal hyperplasia (diagnosis)', 'may_treat'), ('parasitic skin disorders (diagnosis)', 'contraindicated_with_disease')]",hydrocortisone (medication),has_component,"['Suramin/HC', 'CORTISOL TOTAL']"
"[('congenital adrenal hyperplasia (diagnosis)', 'may_treat'), ('parasitic skin disorders (diagnosis)', 'contraindicated_with_disease')]",hydrocortisone (medication),has_ingredient,"['acyclovir / hydrocortisone Topical Cream', 'HYDROCORTISONE 10 mg ORAL TABLET [HYDROCORTISONE]', 'hydrocortisone / lidocaine Medicated Pad', 'hydrocortisone / miconazole Topical Gel', 'hydrocortisone / phenol Topical Product']"
"[('congenital adrenal hyperplasia (diagnosis)', 'may_treat'), ('parasitic skin disorders (diagnosis)', 'contraindicated_with_disease')]",hydrocortisone (medication),has_active_ingredient,"['diphenhydramine + hydrocortisone (medication)', 'hydrocortisone@2.5 %@TOPICAL@OINTMENT (GRAM)', 'HYDROCORTISONE BUTEPRATE 0.1% EMOL CREAM', 'topical steroids hydrocortisone acetate', 'Hydrocortisone+urea 1%/10% cream (substance)', 'antiviral acyclovir + hydrocortisone (medication)', 'Hydrocortisone sodium succinate 500mg/vial powder for injection 4mL vial (product)', 'hemorrhoidal hydrocortisone + cinchocaine hcl + framycetin sulfate + esculin (medication)', 'polymyxin B sulfate + neomycin sulfate + hydrocortisone (medication)', 'ciprofloxacin, hydrocortisone drug combination', 'hydrocortisone@1 %@TOPICAL@LOTION (GRAM)', 'topical steroids hydrocortisone', 'topical steroids hydrocortisone + acetic acid', 'Hydrocortisone+urea (substance)', 'diphenhydramine + hydrocortisone + pramoxine (medication)']"
"[('congenital adrenal hyperplasia (diagnosis)', 'may_treat'), ('parasitic skin disorders (diagnosis)', 'contraindicated_with_disease')]",hydrocortisone (medication),physiologic_effect_of,"['Carbohydrate Metabolism Alteration', 'Lipid Metabolism Alteration [PE]', 'Decreased Capillary Permeability']"
"[('congenital adrenal hyperplasia (diagnosis)', 'may_treat'), ('parasitic skin disorders (diagnosis)', 'contraindicated_with_disease')]",hydrocortisone (medication),mechanism_of_action_of,"['Corticosteroid Hormone Receptor Agonists [MoA]', 'Lipoxygenase Inhibitors']"
"[('Myeloid metaplasia (disorder)', 'co-occurs_with'), ('Myelophthisis (finding)', 'co-occurs_with')]",MMM,co-occurs_with,['myelofibrosis with myeloid metaplasia (diagnosis)']
"[('Myeloid metaplasia (disorder)', 'co-occurs_with'), ('Myelophthisis (finding)', 'co-occurs_with')]",MMM,manifestation_of,"['Myeloproliferative disease, unspecified']"
"[('NPHLOP1', 'manifestation_of'), ('UROLITHIASIS, X-LINKED RECESSIVE, TYPE 1', 'manifestation_of')]",hypercalcuria (diagnosis),associated_with,"['idiopathic nephrolithiasis, hypercalciuria with hyperexcretion (diagnosis)']"
"[('Birt-Hogg-Dube syndrome (diagnosis)', 'manifestation_of'), ('Budd-Chiari syndrome (diagnosis)', 'clinically_associated_with')]",renal cell carcinoma (diagnosis),may_treat,['hydroxyurea (medication)']
"[('Birt-Hogg-Dube syndrome (diagnosis)', 'manifestation_of'), ('Budd-Chiari syndrome (diagnosis)', 'clinically_associated_with')]",renal cell carcinoma (diagnosis),clinically_associated_with,['anemia (diagnosis)']
"[('Colonic (qualifier value)', 'has_finding_site'), ('Polyposi, Familial Multiple', 'used_for')]",neoplasm of large intestine (diagnosis),has_focus,['Screening for malignant neoplasm of rectum (procedure)']
"[('Colonic (qualifier value)', 'has_finding_site'), ('Polyposi, Familial Multiple', 'used_for')]",neoplasm of large intestine (diagnosis),may_treat,"[""(1aS,8S,8aR,8bS)]-6-Amino-8-[[(aminocarbonyl)oxy]methyl]-1,1a,2,8,8a,8b-hexahydro-8a-methoxy-5-methylazirino[2',3':3,4]pyrrolo[1,2-a]indole-4,7-dione""]"
"[('leishmaniasis (diagnosis)', 'may_treat'), ('Acanthamoeba keratitis (disorder)', 'may_treat')]",ketoconazole (medication),has_component,['KCZ/METRO/VP-16']
"[('leishmaniasis (diagnosis)', 'may_treat'), ('Acanthamoeba keratitis (disorder)', 'may_treat')]",ketoconazole (medication),has_ingredient,"['KETOCONAZOLE 200 mg ORAL TABLET [Ketoconazole]', 'chloroxylenol / ketoconazole Medicated Shampoo', 'ketoconazole / lactate / salicylic acid Otic Product', 'KETOCONAZOLE 20 mg in 1 mL TOPICAL SHAMPOO, SUSPENSION', 'ketoconazole Oral Suspension']"
"[('leishmaniasis (diagnosis)', 'may_treat'), ('Acanthamoeba keratitis (disorder)', 'may_treat')]",ketoconazole (medication),has_active_ingredient,['ketoconazole 20 mg in 1 g TOPICAL CREAM']
"[('leishmaniasis (diagnosis)', 'may_treat'), ('Acanthamoeba keratitis (disorder)', 'may_treat')]",ketoconazole (medication),physiologic_effect_of,['Decreased Cell Wall Integrity [PE]']
"[('leishmaniasis (diagnosis)', 'may_treat'), ('Acanthamoeba keratitis (disorder)', 'may_treat')]",ketoconazole (medication),mechanism_of_action_of,"['Cytochrome P450 3A5 Inhibitors [MoA]', 'Cytochrome P450 3A4 Inhibitors', 'P-Glycoprotein Inhibitors [MoA]']"
"[('burns of wrist (diagnosis)', 'co-occurs_with'), ('Split thickness skin transplantation', 'co-occurs_with')]",burns of hand (physical finding),co-occurs_with,['burns of ear (diagnosis)']
"[('Soft tissue NOS (navigational concept)', 'has_finding_site'), ('PARASCAPULAR FIBROMYOSITIS', 'co-occurs_with')]",fibromyalgia (FM),associated_with,['musculoskeletal']
"[('Soft tissue NOS (navigational concept)', 'has_finding_site'), ('PARASCAPULAR FIBROMYOSITIS', 'co-occurs_with')]",fibromyalgia (FM),co-occurs_with,['arthritis (diagnosis)']
"[('Soft tissue NOS (navigational concept)', 'has_finding_site'), ('PARASCAPULAR FIBROMYOSITIS', 'co-occurs_with')]",fibromyalgia (FM),may_treat,['pregabalin (medication)']
"[('Left atrial abnormality (disorder)', 'co-occurs_with'), ('CORONARY STENOSIS LAD', 'co-occurs_with')]",bundle branch block (diagnosis),used_for,['heart block (diagnosis)']
"[('Left atrial abnormality (disorder)', 'co-occurs_with'), ('CORONARY STENOSIS LAD', 'co-occurs_with')]",bundle branch block (diagnosis),contraindicated_with_disease,['flecainide (medication)']
"[('Left atrial abnormality (disorder)', 'co-occurs_with'), ('CORONARY STENOSIS LAD', 'co-occurs_with')]",bundle branch block (diagnosis),co-occurs_with,['Left atrial abnormality (disorder)']
"[('FIBRILLATION PAROXYSMAL', 'clinically_associated_with'), ('Cardioversion using medication', 'clinically_associated_with')]",CVA DISTRIBUTION MCA,clinically_associated_with,['epilepsy types']
"[('dexpropranolol', 'used_for'), ('obzidan', 'used_for')]",Propranolol (substance),has_ingredient,"['PROPRANOLOL HYDROCHLORIDE 20 mg ORAL TABLET [Propranolol Hydrochloride]', 'propranolol hydrochloride 4.28 MG/ML', 'pentaerythritol / propranolol Oral Tablet']"
"[('dexpropranolol', 'used_for'), ('obzidan', 'used_for')]",Propranolol (substance),physiologic_effect_of,['Bronchoconstriction']
"[('RHABDOMYOLYSIS, ACUTE RECURRENT', 'manifestation_of'), ('GSD XIII', 'manifestation_of')]",myoglobinuria (diagnosis),clinically_associated_with,['Blood in urine (& symptom) (finding)']
"[('pyrilamine (medication)', 'has_active_ingredient'), ('dextromethorphan (medication)', 'has_active_ingredient')]",dextromethorphan + pyrilamine (medication),has_ingredient,['CAPRON DMT 30mg-30mg Tablet']
"[('callosititis', 'used_for'), ('eczema dyshidrotic (diagnosis)', 'used_for')]",Dermatological disorder (disorder),associated_with,"['Pseudomonas septicemia with skin involvement (disorder)', 'diagnoses, syndromes, and conditions (diagnosis)']"
"[('callosititis', 'used_for'), ('eczema dyshidrotic (diagnosis)', 'used_for')]",Dermatological disorder (disorder),has_focus,"['Pemphigus/pemphigoid screening (procedure)', 'digital therapeutics for skin disorders (treatment)', 'DLQI questionnaire (procedure)', 'Education about dermatological disorder (procedure)']"
"[('callosititis', 'used_for'), ('eczema dyshidrotic (diagnosis)', 'used_for')]",Dermatological disorder (disorder),may_treat,['polymyxin B sulfate (medication)']
"[('hot flush menopausal symptom', 'co-occurs_with'), ('post menopausal state', 'associated_with')]",Menopause (observable entity),co-occurs_with,['hot flush menopausal symptom']
"[('hot flush menopausal symptom', 'co-occurs_with'), ('post menopausal state', 'associated_with')]",Menopause (observable entity),may_treat,['Belladonna alkaloid (substance)']
"[('Sulfhemoglobin assay, qualitative (procedure)', 'associated_with'), ('Sulfhemoglobin measurement (procedure)', 'associated_with')]",SulphHb,has_component,['sulfhemoglobin/total hemoglobin in blood (lab test)']
"[('NONCOMPLIANCE DIALYSIS', 'clinically_associated_with'), ('BDPLT24', 'manifestation_of')]",nosebleed symptom (non-specific),has_focus,['Tamponade of anterior nasal bleeding using urinary catheter (procedure)']
"[('formyltetrahydrofolate', 'used_for'), ('Dihydrofolic acid (substance)', 'has_active_ingredient')]","5-Formyl-5,6,7,8-tetrahydrofolic Acid",has_ingredient,"['leucovorin 500 MG', 'leucovorin 10 MG (as leucovorin calcium 10.8 MG) Oral Tablet']"
"[('formyltetrahydrofolate', 'used_for'), ('Dihydrofolic acid (substance)', 'has_active_ingredient')]","5-Formyl-5,6,7,8-tetrahydrofolic Acid",physiologic_effect_of,['Cellular Activity Alteration [PE]']
"[('formyltetrahydrofolate', 'used_for'), ('Dihydrofolic acid (substance)', 'has_active_ingredient')]","5-Formyl-5,6,7,8-tetrahydrofolic Acid",therapeutic_class_of,"['Antidotes, Deterrents, and Toxicologic Agents']"
"[('fracture of shoulder (diagnosis)', 'co-occurs_with'), ('EDM3', 'manifestation_of')]",Osteoarthritis (M15-M19),associated_with,['arthritis (diagnosis)']
"[('fracture of shoulder (diagnosis)', 'co-occurs_with'), ('EDM3', 'manifestation_of')]",Osteoarthritis (M15-M19),has_focus,"['patient engagement for osteoarthritis (treatment)', 'digital therapeutics for osteoarthritis (treatment)']"
"[('fracture of shoulder (diagnosis)', 'co-occurs_with'), ('EDM3', 'manifestation_of')]",Osteoarthritis (M15-M19),may_treat,['Aspirin - chemical (substance)']
"[('fracture of shoulder (diagnosis)', 'co-occurs_with'), ('EDM3', 'manifestation_of')]",Osteoarthritis (M15-M19),associated_morphology_of,['Degeneration and inflammation (morphologic abnormality)']
"[('corneal ulceration (physical finding)', 'may_treat'), ('Suppurative otitis media, unspecified, unspecified ear', 'may_treat')]","9-Fluoro-2,3-Dihydro-3-Methyl-10-(4-Methyl-1-Piperazinyl)-7-Oxo-7H-Pyrido(1,2,3-de)(1,4)benzoxazine-6-Carboxylic Acid, DL-",has_ingredient,"['Ofloxacin 200mg tablet (substance)', 'ofloxacin 30 MG/ML', 'ofloxacin 200 MG']"
"[('corneal ulceration (physical finding)', 'may_treat'), ('Suppurative otitis media, unspecified, unspecified ear', 'may_treat')]","9-Fluoro-2,3-Dihydro-3-Methyl-10-(4-Methyl-1-Piperazinyl)-7-Oxo-7H-Pyrido(1,2,3-de)(1,4)benzoxazine-6-Carboxylic Acid, DL-",has_active_ingredient,"['ofloxacin 3 mg in 1 mL OPHTHALMIC SOLUTION/ DROPS [OCUFLOX]', 'Parenteral form ofloxacin (product)', 'ofloxacin 3 mg in 1 mL OPHTHALMIC SOLUTION']"
"[('corneal ulceration (physical finding)', 'may_treat'), ('Suppurative otitis media, unspecified, unspecified ear', 'may_treat')]","9-Fluoro-2,3-Dihydro-3-Methyl-10-(4-Methyl-1-Piperazinyl)-7-Oxo-7H-Pyrido(1,2,3-de)(1,4)benzoxazine-6-Carboxylic Acid, DL-",physiologic_effect_of,['Decreased DNA Integrity [PE]']
"[('corneal ulceration (physical finding)', 'may_treat'), ('Suppurative otitis media, unspecified, unspecified ear', 'may_treat')]","9-Fluoro-2,3-Dihydro-3-Methyl-10-(4-Methyl-1-Piperazinyl)-7-Oxo-7H-Pyrido(1,2,3-de)(1,4)benzoxazine-6-Carboxylic Acid, DL-",therapeutic_class_of,['Antimicrobial Agent [TC]']
